Order ID,Order Date,Ship Date,Customer Name,Customer ID,Customer Segment,Category,Product Name,Product ID,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Auto-Reorder,Recorder Quantity
ORD1000,24-10-2025,30-10-2025,David Andersen,CUST516,Consumer,Electronics,Mouse,PROD1908,West,Virginia,Jasonfurt,3,3970,30,8337,6633.85,1703.15,Cash,Delivered,"Rojas, Burch and Clayton",bobby19@gilbert.com,20,No,0
ORD1001,05-10-2025,06-10-2025,Laura Carr,CUST519,Consumer,Electronics,Headphones,PROD8656,North,Vermont,Port John,4,2919,20,9340.8,8086.91,1253.89,Net banking,Delivered,Summers-Baker,lindseygreen@ray.com,11,No,0
ORD1002,20-01-2025,27-01-2025,Heather Snyder,CUST531,Consumer,Office Supplies,File Folder,PROD1460,East,Indiana,Joshuachester,9,1993,50,8968.5,5533.06,3435.44,Debit card,Pending,Frey Ltd,laurencasey@garcia.biz,8,Yes,22
ORD1003,23-07-2025,27-07-2025,Michelle Adams,CUST607,Corporate,Office Supplies,Notebook,PROD3347,West,Maryland,Adamfort,6,447,50,1341,987.66,353.34,UPI,Cancelled,Pacheco-Powell,brian17@mendoza.com,21,No,0
ORD1004,12-11-2024,13-11-2024,Joe Park,CUST143,Consumer,Furniture,Dining Table,PROD6982,North,Virginia,Port Daniellemouth,7,1887,5,12548.55,10723.9,1824.65,Net banking,Returned,Hall-Adams,kdavis@shepard.info,38,No,0
ORD1005,19-03-2025,26-03-2025,Krystal Black,CUST317,Home Office,Grocery,Snacks,PROD3815,North,New Mexico,Victoriaview,2,2251,20,3601.6,2415.32,1186.28,Cash,Delivered,"Oconnell, Rice and Smith",mcdonaldjoseph@keller.com,10,No,0
ORD1006,15-02-2025,16-02-2025,Jessica Watkins,CUST739,Corporate,Electronics,Keyboard,PROD9920,South,Arkansas,North Andrewhaven,1,2437,5,2315.15,1735.46,579.69,UPI,Returned,"Sanchez, Foster and Miller",richmondalicia@davis.com,12,No,0
ORD1007,22-11-2024,24-11-2024,Dana Price,CUST205,Consumer,Furniture,Office Chair,PROD6628,North,Pennsylvania,New Danielleland,5,1518,15,6451.5,4120.92,2330.58,Net banking,Cancelled,Alvarez Ltd,kingdanielle@chapman.com,21,No,0
ORD1008,13-09-2025,19-09-2025,Shelia Chandler,CUST163,Consumer,Office Supplies,Calculator,PROD1691,South,Virginia,South Christopher,10,3163,50,15815,9745.2,6069.8,Cash,Returned,Edwards Group,hunterdarrell@fuller.info,10,No,0
ORD1009,27-02-2025,02-03-2025,Lori Cox,CUST531,Consumer,Furniture,Study Table,PROD4232,East,West Virginia,Harperfurt,2,1943,10,3497.4,3070.27,427.13,Net banking,Cancelled,Murphy-Wheeler,marthabooth@fisher.com,24,No,0
ORD1010,01-11-2024,07-11-2024,Richard Sharp,CUST488,Corporate,Furniture,Study Table,PROD9344,North,Colorado,West Lauren,5,4366,10,19647,15988.55,3658.45,Cash,Returned,"Hardin, Baxter and Shelton",armstrongvanessa@mason-meyer.com,16,No,0
ORD1011,02-11-2024,04-11-2024,Lisa Hess,CUST157,Home Office,Grocery,Juice Pack,PROD7486,South,California,New Patricia,6,3798,30,15951.6,10150.89,5800.71,Cash,Delivered,Acosta LLC,richard07@newman.biz,19,No,0
ORD1012,24-11-2024,29-11-2024,Richard Flores,CUST880,Consumer,Electronics,Laptop,PROD6771,West,Minnesota,Lake Davidstad,6,175,5,997.5,814.93,182.57,Debit card,Pending,"Stuart, Mitchell and Thomas",trevor27@weaver.com,37,No,0
ORD1013,08-12-2024,15-12-2024,Tiffany Martinez,CUST270,Consumer,Electronics,Keyboard,PROD5551,West,California,Port Kimberly,5,4290,20,17160,11626.41,5533.59,Cash,Cancelled,West-Short,hamptonwilliam@lopez.org,45,No,0
ORD1014,26-12-2024,30-12-2024,Tracey Foster,CUST245,Home Office,Electronics,Keyboard,PROD1042,South,Pennsylvania,New Sandra,10,1185,5,11257.5,9985.19,1272.31,Debit card,Cancelled,Reeves Group,tschneider@williams.com,30,No,0
ORD1015,20-01-2025,25-01-2025,Crystal Owens,CUST808,Home Office,Electronics,Laptop,PROD9100,East,Connecticut,East Sara,2,1017,30,1423.8,1179.76,244.04,Net banking,Delivered,Morris PLC,kaitlin88@jacobs.com,13,No,0
